"","HKL_1","MSC_1","NET_1","NET_2","POT_1","POT_2","TLS_1","TLS_2","TWL_1","TWS_1"
"HKL_1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC_1",0.0287972896668549,1,NA,NA,NA,NA,NA,NA,NA,NA
"NET_1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"NET_2",NA,NA,0.0352809243083634,1,NA,NA,NA,NA,NA,NA
"POT_1",0.286692159659087,-0.376456232622061,NA,0.108461538461538,1,NA,NA,NA,NA,NA
"POT_2",-0.192448680351906,-0.414306009635694,NA,NA,NA,1,NA,NA,NA,NA
"TLS_1",-0.0553471620492404,-0.545454545454545,NA,NA,0.152921146749648,0.549450549450549,1,NA,NA,NA
"TLS_2",0.0383820785197805,NA,NA,NA,0.366278987302253,NA,0.150869895792597,1,NA,NA
"TWL_1",NA,NA,NA,NA,0.204426930739482,NA,NA,-0.140350877192982,1,NA
"TWS_1",NA,NA,NA,NA,0.231087444758386,NA,NA,-0.209302325581395,-0.059525939177102,1
