"","HKL_1","MSC_1","NET_1","NET_2","POT_1","POT_2","TLS_1","TLS_2","TWL_1","TWS_1"
"HKL_1",0,0.0241423125794156,0,0,0.176199868507561,0.026634382566586,0.139407244785949,0.133863080684597,0,0
"MSC_1",0.0241423125794156,0,0,0,0.0107913669064748,0.0642201834862386,0.00834326579261035,0,0,0
"NET_1",0,0,0,0.40625,0,0,0,0,0,0
"NET_2",0,0,0.40625,0,0.0155038759689923,0,0,0,0,0
"POT_1",0.176199868507561,0.0107913669064748,0,0.0155038759689923,0,0.00766016713091922,0.252340823970037,0.235649546827795,0.0518341307814991,0.0621422730989371
"POT_2",0.026634382566586,0.0642201834862386,0,0,0.00766016713091922,0,0,0,0,0
"TLS_1",0.139407244785949,0.00834326579261035,0,0,0.252340823970037,0,0,0.294756731223429,0,0
"TLS_2",0.133863080684597,0,0,0,0.235649546827795,0,0.294756731223429,0,0.0236511456023651,0.0309667673716012
"TWL_1",0,0,0,0,0.0518341307814991,0,0,0.0236511456023651,0,0.32183908045977
"TWS_1",0,0,0,0,0.0621422730989371,0,0,0.0309667673716012,0.32183908045977,0
