"","x"
"1","trip_id"
"2","year"
"3","agid"
"4","ftid"
"5","month"
"6","day"
"7","pargrp"
"8","port"
"9","vesseltype"
"10","veid"
"11","processorid"
"12","tdate"
"13","daysfished"
"14","drvid"
"15","ulid"
"16","fisherman_license"
"17","ifq_landing"
"18","estimated"
"19","worst_est"
"20","adj_grid"
"21","gear_original"
"22","category"
"23","grade"
"24","cond"
"25","disp"
"26","areatype"
"27","area"
"28","gear"
"29","landed_wt"
"30","factor"
"31","round_wt"
"32","num_fish"
"33","ppp"
"34","cdfg_origin"
"35","removal_type"
"36","legal_removal"
"37","product_use"
"38","product_form"
"39","overage"
"40","assignment"
"41","nwr_le_permid"
"42","spid"
"43","council"
"44","grid"
"45","grgroup"
"46","pcid"
"47","list_of_permids"
"48","gr_endors"
"49","sabltiers"
"50","revenue"
"51","CPIAUCSL"
"52","adj_revenue"
"53","modified"
"54","metier.2012"
"55","metier.2010"
